date;pm10
2013-01-01;13,92
2013-01-02;18,38
2013-01-03;18,08
2013-01-04;24,42
2013-01-05;20,79
2013-01-06;16,42
2013-01-07;25,88
2013-01-08;36,5
2013-01-09;36,38
2013-01-10;44,08
2013-01-11;30,71
2013-01-12;23,63
2013-01-13;8,46
2013-01-14;9,21
2013-01-15;12,88
2013-01-16;15,13
2013-01-17;17,75
2013-01-18;19,71
2013-01-19;19,13
2013-01-20;4,71
2013-01-21;9,88
2013-01-22;15,96
2013-01-23;9,75
2013-01-24;10,38
2013-01-25;14,38
2013-01-26;16,17
2013-01-27;24,25
2013-01-28;15,88
2013-01-29;23,67
2013-01-30;38,75
2013-01-31;31,92
2013-02-01;31,58
2013-02-02;14,5
2013-02-03;9,96
2013-02-04;23,21
2013-02-05;26,88
2013-02-06;20,33
2013-02-07;13,54
2013-02-08;18,46
2013-02-09;16,25
2013-02-10;15,75
2013-02-11;14,04
2013-02-12;14,92
2013-02-13;19,25
2013-02-14;31,55
2013-02-15;35,33
2013-02-16;29,0
2013-02-17;34,0
2013-02-18;36,71
2013-02-19;26,5
2013-02-20;32,42
2013-02-21;50,67
2013-02-22;32,29
2013-02-23;18,71
2013-02-24;16,0
2013-02-25;21,04
2013-02-26;26,13
2013-02-27;26,21
2013-02-28;13,73
2013-03-01;6,13
2013-03-02;21,58
2013-03-03;24,63
2013-03-04;26,75
2013-03-05;27,0
2013-03-06;21,83
2013-03-07;17,13
2013-03-08;12,08
2013-03-09;9,04
2013-03-10;8,3
2013-03-11;10,79
2013-03-12;10,17
2013-03-13;16,46
2013-03-14;9,17
2013-03-15;12,21
2013-03-16;20,82
2013-03-17;21,25
2013-03-18;13,42
2013-03-19;18,5
2013-03-20;19,13
2013-03-21;27,96
2013-03-22;24,83
2013-03-23;30,88
2013-03-24;36,38
2013-03-25;14,58
2013-03-26;16,71
2013-03-27;20,96
2013-03-28;21,13
2013-03-29;12,71
2013-03-30;7,0
2013-03-31;8,77
2013-04-01;15,86
2013-04-02;10,83
2013-04-03;20,96
2013-04-04;27,96
2013-04-05;21,04
2013-04-06;8,86
2013-04-07;15,33
2013-04-08;22,83
2013-04-09;21,75
2013-04-10;24,59
2013-04-11;27,55
2013-04-12;24,79
2013-04-13;19,88
2013-04-14;18,33
2013-04-15;32,17
2013-04-16;31,95
2013-04-17;51,0
2013-04-18;38,09
2013-04-19;36,73
2013-04-20;14,0
2013-04-21;18,42
2013-04-22;29,46
2013-04-23;33,88
2013-04-24;43,92
2013-04-25;21,36
2013-04-26;24,25
2013-04-27;11,42
2013-04-28;6,63
2013-04-29;9,9
2013-04-30;17,43
2013-05-01;13,63
2013-05-02;20,0
2013-05-03;17,58
2013-05-04;16,63
2013-05-05;19,67
2013-05-06;26,32
2013-05-07;33,22
2013-05-08;36,7
2013-05-09;31,09
2013-05-10;20,75
2013-05-11;22,55
2013-05-12;21,6
2013-05-13;26,14
2013-05-14;29,83
2013-05-15;27,36
2013-05-16;11,33
2013-05-17;15,33
2013-05-18;11,63
2013-05-19;10,0
2013-05-23;35,5
2013-05-24;20,96
2013-05-25;16,15
2013-05-26;17,42
2013-05-27;24,29
2013-05-28;19,36
2013-05-29;15,21
2013-05-30;16,05
2013-05-31;23,65
2013-06-01;20,39
2013-06-02;14,12
2013-06-03;20,14
2013-06-04;27,9
2013-06-05;24,05
2013-06-06;35,08
2013-06-07;29,5
2013-06-08;23,61
2013-06-09;10,92
2013-06-10;12,0
2013-06-11;40,71
2013-06-12;29,81
2013-06-13;37,4
2013-06-14;23,2
2013-06-15;49,64
2013-06-16;21,21
2013-06-17;43,42
2013-06-18;44,1
2013-06-19;22,24
2013-06-20;18,6
2013-06-21;26,64
2013-06-22;17,17
2013-06-23;18,29
2013-06-24;27,29
2013-06-25;33,08
2013-06-26;32,13
2013-06-27;31,08
2013-06-28;27,58
2013-06-29;23,05
2013-06-30;27,95
2013-07-01;29,64
2013-07-02;31,89
2013-07-03;31,19
2013-07-04;44,09
2013-07-05;31,96
2013-07-06;22,91
2013-07-07;22,58
2013-07-08;31,75
2013-07-09;33,29
2013-07-10;39,96
2013-07-11;41,33
2013-07-12;34,52
2013-07-13;29,63
2013-07-14;17,67
2013-07-15;30,59
2013-07-16;33,58
2013-07-17;32,58
2013-07-18;22,29
2013-07-19;26,96
2013-07-20;22,74
2013-07-21;23,45
2013-07-22;31,5
2013-07-23;36,79
2013-07-24;31,08
2013-07-25;40,67
2013-07-26;25,38
2013-07-27;40,0
2013-07-28;29,46
2013-07-29;14,63
2013-07-30;19,61
2013-07-31;31,05
2013-08-01;32,75
2013-08-02;25,08
2013-08-03;30,65
2013-08-04;25,25
2013-08-06;23,83
2013-08-07;31,5
2013-08-08;16,53
2013-08-09;19,9
2013-08-10;17,2
2013-08-11;16,33
2013-08-12;21,67
2013-08-13;19,5
2013-08-14;30,32
2013-08-15;22,6
2013-08-16;19,3
2013-08-17;17,27
2013-08-18;17,09
2013-08-19;21,28
2013-08-20;24,33
2013-08-21;28,29
2013-08-22;24,71
2013-08-23;27,38
2013-08-24;25,7
2013-08-25;17,17
2013-08-26;22,5
2013-08-27;18,68
2013-08-28;18,0
2013-08-29;18,63
2013-09-02;27,5
2013-09-03;28,25
2013-09-04;28,82
2013-09-05;25,74
2013-09-06;26,52
2013-09-07;21,58
2013-09-08;22,75
2013-09-09;19,11
2013-09-10;20,0
2013-09-11;7,25
2013-09-12;19,13
2013-09-13;26,63
2013-09-14;21,42
2013-09-15;21,42
2013-09-16;23,48
2013-09-17;30,26
2013-09-18;29,47
2013-09-19;25,33
2013-09-20;29,19
2013-09-21;23,22
2013-09-22;25,13
2013-09-23;29,19
2013-09-24;27,05
2013-09-25;25,96
2013-09-26;26,68
2013-09-27;31,75
2013-09-28;27,54
2013-09-29;13,44
2013-09-30;23,96
2013-10-01;33,21
2013-10-02;35,08
2013-10-03;29,11
2013-10-04;32,43
2013-10-05;21,21
2013-10-06;18,38
2013-10-07;17,64
2013-10-08;25,54
2013-10-09;27,13
2013-10-10;20,83
2013-10-11;14,79
2013-10-12;13,21
2013-10-13;20,13
2013-10-14;33,42
2013-10-15;39,96
2013-10-16;29,09
2013-10-17;36,0
2013-10-18;39,19
2013-10-19;31,94
2013-10-20;38,84
2013-10-21;40,5
2013-10-22;50,79
2013-10-23;33,94
2013-10-24;28,81
2013-10-25;40,0
2013-10-26;60,9
2013-10-27;28,63
2013-10-28;50,64
2013-10-29;33,29
2013-10-30;27,25
2013-10-31;28,54
2013-11-01;25,17
2013-11-02;18,05
2013-11-03;14,16
2013-11-04;16,62
2013-11-05;20,5
2013-11-06;32,59
2013-11-07;36,46
2013-11-08;27,1
2013-11-09;17,83
2013-11-10;27,68
2013-11-11;30,92
2013-11-12;30,05
2013-11-13;27,83
2013-11-14;30,21
2013-11-15;28,08
2013-11-16;12,4
2014-02-18;41,38
2014-02-19;38,54
2014-02-20;23,17
2014-02-21;27,83
2014-02-22;19,48
2014-02-23;23,46
2014-02-24;28,5
2014-02-25;33,25
2014-02-26;19,0
2014-02-27;20,25
2014-02-28;28,0
2014-03-01;7,54
2014-03-02;12,83
2014-03-03;17,0
2014-03-04;11,13
2014-03-05;19,63
2014-03-06;25,54
2014-03-07;32,75
2014-03-08;49,25
2014-03-09;36,21
2014-03-10;29,13
2014-03-11;51,75
2014-03-12;58,67
2014-03-13;43,63
2014-03-14;56,76
2014-03-15;51,29
2014-03-16;41,54
2014-03-17;47,38
2014-03-18;43,42
2014-03-19;47,21
2014-03-20;58,58
2014-03-21;49,75
2014-03-22;40,13
2014-03-23;8,67
2014-03-24;17,88
2014-03-25;18,5
2014-03-26;14,63
2014-03-27;20,25
2014-03-28;30,71
2014-03-29;55,08
2014-03-30;30,09
2014-03-31;48,33
2014-04-01;48,35
2014-04-02;38,46
2014-04-03;42,96
2014-04-04;11,57
2014-04-05;18,77
2014-04-06;15,82
2014-04-07;28,13
2014-04-08;33,79
2014-04-09;31,79
2014-04-10;37,0
2014-04-11;34,96
2014-04-12;33,63
2014-04-13;32,59
2014-04-14;30,17
2014-04-15;24,75
2014-04-16;35,08
2014-04-17;28,58
2014-04-18;33,33
2014-04-19;33,77
2014-04-20;15,83
2014-04-21;16,17
2014-04-22;24,82
2014-04-23;34,96
2014-04-24;29,05
2014-04-25;17,38
2014-04-26;12,53
2014-04-27;15,22
2014-04-28;22,22
2014-04-29;33,08
2014-04-30;40,25
2014-05-01;14,57
2014-05-02;16,75
2014-05-03;21,39
2014-05-04;27,79
2014-05-05;36,83
2014-05-06;39,92
2014-05-07;37,57
2014-05-08;48,79
2014-05-09;38,25
2014-05-10;38,14
2014-05-14;26,29
2014-05-15;37,21
2014-05-16;38,08
2014-05-17;22,94
2014-05-18;25,71
2014-05-19;31,74
2014-05-20;38,96
2014-05-21;68,0
2014-05-22;31,77
2014-05-23;29,61
2014-05-24;13,32
2014-05-25;17,45
2014-05-26;21,87
2014-05-27;21,75
2014-05-28;33,96
2014-05-29;19,32
2014-05-30;26,14
2014-05-31;17,15
2014-06-01;18,05
2014-06-02;30,0
2014-06-03;35,67
2014-06-06;29,5
2014-06-07;36,21
2014-06-08;41,0
2014-06-09;38,67
2014-06-10;52,14
2014-06-11;50,39
2014-06-12;45,46
2014-06-13;40,92
2014-06-14;33,71
2014-06-15;31,44
2014-06-16;25,95
2014-06-17;33,52
2014-06-18;25,85
2014-06-19;19,39
2014-06-20;31,3
2014-06-21;23,39
2014-06-22;46,05
2014-06-23;48,06
2014-06-24;40,0
2014-06-25;14,14
2014-06-26;27,95
2014-06-27;41,19
2014-06-28;25,27
2014-06-29;26,5
2014-06-30;28,32
2014-07-10;32,3
2014-07-11;28,75
2014-07-12;26,05
2014-07-13;28,6
2014-10-23;40,92
2014-10-24;45,21
2014-10-25;36,67
2014-10-26;29,92
2014-10-27;30,06
2014-10-28;40,79
2014-10-29;31,67
2014-10-30;47,0
2014-10-31;37,25
2014-11-01;22,42
2014-11-02;26,33
2014-11-03;25,07
2014-11-04;15,82
2014-11-05;21,08
2014-11-06;20,33
2014-11-07;22,63
2014-11-08;14,38
2014-11-09;13,33
2014-11-10;15,63
2014-11-11;22,21
2014-11-12;14,5
2014-11-13;17,29
2014-11-14;31,0
2014-11-15;11,92
2014-11-16;9,71
2014-11-17;13,88
2014-11-18;18,25
2014-11-19;21,0
2014-11-20;30,42
2014-11-21;38,55
2014-11-22;42,46
2014-11-23;46,25
2014-11-24;50,42
2014-11-25;63,83
2014-11-26;52,83
2014-11-27;21,29
2014-11-28;42,0
2014-11-29;59,0
2014-11-30;116,0
2014-12-01;21,0
2014-12-02;20,04
2014-12-03;16,17
2014-12-04;10,96
2014-12-05;11,67
2014-12-06;8,38
2014-12-07;8,5
2014-12-08;8,46
2014-12-09;11,0
2014-12-10;16,13
2014-12-11;23,83
2014-12-12;18,04
2014-12-13;20,54
2014-12-14;26,17
2014-12-15;11,75
2014-12-16;13,25
2014-12-17;18,63
2014-12-18;13,96
2014-12-19;14,7
2014-12-20;14,75
2014-12-21;11,17
2014-12-22;17,32
2014-12-23;18,71
2014-12-24;15,96
2014-12-25;10,71
2014-12-26;9,92
2014-12-27;17,92
2014-12-28;10,63
2014-12-29;12,08
2014-12-30;13,63
2014-12-31;18,38
2015-01-01;23,58
2015-01-02;15,13
2015-01-03;16,25
2015-01-04;16,77
2015-01-05;17,3
2015-01-06;15,74
2015-01-07;22,42
2015-01-08;16,83
2015-01-09;17,15
2015-01-10;24,88
2015-01-11;25,08
2015-01-12;34,79
2015-01-13;50,46
2015-01-14;28,96
2015-01-15;50,54
2015-01-16;39,54
2015-01-17;14,25
2015-01-18;21,29
2015-01-19;14,5
2015-01-20;23,17
2015-01-21;23,46
2015-01-22;28,88
2015-01-23;20,95
2015-01-24;25,58
2015-01-25;28,14
2015-01-26;38,36
2015-01-27;35,42
2015-01-28;32,91
2015-01-29;35,5
2015-01-30;23,41
2015-01-31;14,48
2015-02-01;11,0
2015-02-02;16,38
2015-02-06;22,3
2015-02-07;35,63
2015-02-08;35,25
2015-02-09;39,25
2015-02-10;40,21
2015-02-11;33,13
2015-02-12;46,04
2015-02-13;54,71
2015-02-14;35,17
2015-02-15;23,14
2015-02-16;39,62
2015-02-17;36,45
2015-02-18;39,19
2015-02-19;47,64
2015-02-20;54,25
2015-02-21;25,84
2015-02-22;13,9
2015-02-23;33,86
2015-02-24;16,59
2015-02-25;13,2
2015-02-27;47,82
2015-02-28;27,77
2015-03-01;40,29
2015-03-02;35,87
2015-03-03;45,5
2015-03-04;40,43
2015-03-05;21,5
2015-03-06;41,0
2015-03-07;42,21
2015-03-08;40,25
2015-03-09;46,96
2015-03-10;62,92
2015-03-13;57,5
2015-03-14;24,48
2015-03-15;23,17
2015-03-16;31,9
2015-03-17;33,96
2015-03-18;31,92
2015-03-19;35,71
2015-03-20;29,58
2015-03-21;39,56
2015-03-22;28,43
2015-03-23;37,67
2015-03-24;23,29
2015-03-25;15,13
2015-03-26;28,67
2015-03-27;24,25
2015-03-28;25,17
2015-03-29;23,59
2015-03-30;32,71
2015-03-31;31,21
2015-04-01;32,88
2015-04-02;33,0
2015-04-08;25,23
2015-04-09;28,38
2015-04-10;36,96
2015-04-11;26,21
2015-04-12;25,05
2015-04-13;35,17
2015-04-14;38,21
2015-04-15;32,57
2015-04-16;31,89
2015-04-17;33,71
2015-04-21;18,75
2015-04-22;28,17
2015-04-23;28,46
2015-04-24;32,75
2015-04-25;41,25
2015-04-26;38,71
2015-04-27;10,13
2015-04-28;17,58
2015-04-29;26,46
2015-04-30;25,92
2015-05-01;30,04
2015-05-02;23,5
2015-05-03;25,83
2015-05-04;46,25
2015-05-05;42,33
2015-05-06;35,92
2015-05-07;29,79
2015-05-08;39,17
2015-05-19;19,89
2015-05-20;10,79
2015-05-21;15,63
2015-05-22;19,08
2015-05-23;18,25
2015-05-24;19,38
2015-05-25;26,21
2015-05-26;25,21
2015-05-27;30,46
2015-05-28;37,38
2015-05-29;32,54
2015-05-30;16,38
2015-05-31;15,21
2015-06-01;19,54
2015-06-02;25,38
2015-06-03;27,33
2015-06-04;29,13
2015-06-05;29,38
2015-06-06;20,04
2015-06-07;17,04
2015-06-08;29,13
2015-06-09;22,38
2015-06-10;30,0
2015-06-11;38,25
2015-06-12;22,46
2015-06-15;21,79
2015-06-16;13,17
2015-06-17;21,17
2015-06-19;34,3
2015-07-22;18,33
2015-08-23;13,39
2015-08-24;14,22
2015-08-26;21,07
2015-08-31;30,56
2015-09-01;21,0
2015-09-02;29,17
2015-09-03;17,5
2015-09-04;14,5
2015-09-05;17,96
2015-09-06;20,7
2015-09-07;19,7
2015-09-08;29,18
2015-09-09;36,93
2015-09-16;37,67
2015-09-17;29,13
2015-09-18;30,35
2015-09-19;25,76
2015-09-20;29,36
